ts;uuid;id_user;gclid;user_recurrent;url_landing;url base;gclid;id user;uuid
2021-09-06 0:4:47.293;0dc35d5b-f8f3-4b4b-aa69-bf1460fbfc8d;ce821ef9-b1b1-4fe8-96e8-7caafedb84f2;Cj0KCQjw1dGJBhD4ARIsANb6OdnsCY-bxFKzl3bvdvI_lrDV5Bq27haMizYYbSX0l9DKNOA9LPH9FdMaAhHHEALw_wcB;true;gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnsCY-bxFKzl3bvdvI_lrDV5Bq27haMizYYbSX0l9DKNOA9LPH9FdMaAhHHEALw_wcB&idUser=ce821ef9-b1b1-4fe8-96e8-7caafedb84f2&uuid=0dc35d5b-f8f3-4b4b-aa69-bf1460fbfc8d&camp=732187328&adg=46724581628&device=m&sl=&adv=533655604703&rec=true&;https://www.metropolis.com/es/;;;
2021-09-06 0:5:10.227;0bfa16dc-a483-4671-8bf6-41cff60b89b1;efb412fe-c584-4eaf-8523-f1e1b63ac171;Cj0KCQjw1dGJBhD4ARIsANb6OdmpcXHqrCa4XHwj1XQTGt_Bpef3Js0Q6PmQVmKnVuQzsr0snXVSeTcaAtY1EALw_wcB;false;clin400/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdmpcXHqrCa4XHwj1XQTGt_Bpef3Js0Q6PmQVmKnVuQzsr0snXVSeTcaAtY1EALw_wcB&idUser=efb412fe-c584-4eaf-8523-f1e1b63ac171&uuid=0bfa16dc-a483-4671-8bf6-41cff60b89b1&camp=732401028&adg=46724585188&device=m&sl=&adv=477211734929&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:5:13.225;daaaea02-a7b3-4291-9148-7379e81d4ad4;e604825d-b780-48d1-b65b-89e86e0671d5;Cj0KCQjw1dGJBhD4ARIsANb6OdnvNrss0CmT-b4WqktU6P5MbIFRk3bj0fRDq3WBnywko-rK6yEQEZsaAlSYEALw_wcB;true;clin200/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnvNrss0CmT-b4WqktU6P5MbIFRk3bj0fRDq3WBnywko-rK6yEQEZsaAlSYEALw_wcB&idUser=e604825d-b780-48d1-b65b-89e86e0671d5&uuid=daaaea02-a7b3-4291-9148-7379e81d4ad4&camp=13352768128&adg=118216881010&device=m&sl=&adv=525403074122&rec=true&;https://www.metropolis.com/es/;;;
2021-09-06 0:5:38.761;60d993de-9544-4968-8d6b-f0ccffd87e0d;bc42ffd1-d825-436a-9f5c-c4c5a6642509;Cj0KCQjw1dGJBhD4ARIsANb6OdkUVh30nQvS_dr2sEPXeAh_8598291sv8FUE52jPx6ueS9jKjeY1nkaAu9iEALw_wcB;false;tria/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkUVh30nQvS_dr2sEPXeAh_8598291sv8FUE52jPx6ueS9jKjeY1nkaAu9iEALw_wcB&idUser=bc42ffd1-d825-436a-9f5c-c4c5a6642509&uuid=60d993de-9544-4968-8d6b-f0ccffd87e0d&camp=1648648995&adg=62589383945&device=m&sl=55827747438&adv=481025151796&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:8:18.344;a6456565-3f3e-4228-ae6e-d186e17a0eda;3f146eaf-172f-45c2-8d23-fba1446eb653;Cj0KCQjw1dGJBhD4ARIsANb6OdnI7UqCPlAqtRzH_jIBmQzrMb6Xw6V0-3FZu_lfmBqUkASb1n1ueBEaAotSEALw_wcB;false;cea/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnI7UqCPlAqtRzH_jIBmQzrMb6Xw6V0-3FZu_lfmBqUkASb1n1ueBEaAotSEALw_wcB&idUser=3f146eaf-172f-45c2-8d23-fba1446eb653&uuid=a6456565-3f3e-4228-ae6e-d186e17a0eda&camp=1648646316&adg=58613330770&device=m&sl=&adv=494939238438&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:9:32.221;f0167486-808f-406f-b9a1-f3802c08f357;f9e2c1a3-9ac0-4ffe-9873-de8231d0b6b8;Cj0KCQjw1dGJBhD4ARIsANb6Odmh8nZ3zw1vQyLxFqh0ktU9261RUuKLMqvOzFw6cqmgdBa2lEkyRlMaAoV4EALw_wcB;false;gclid=Cj0KCQjw1dGJBhD4ARIsANb6Odmh8nZ3zw1vQyLxFqh0ktU9261RUuKLMqvOzFw6cqmgdBa2lEkyRlMaAoV4EALw_wcB&idUser=f9e2c1a3-9ac0-4ffe-9873-de8231d0b6b8&uuid=f0167486-808f-406f-b9a1-f3802c08f357&camp=732187328&adg=46724581628&device=m&sl=&adv=533655604703&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:10:32.157;c31cef27-700f-4e75-a5e2-2f10427b8b9b;ad983b54-d48c-4aa8-9241-b5c49d83428c;Cj0KCQjw1dGJBhD4ARIsANb6OdnCz3gI3tgGzbLgHXP-br2VFReSsUh4IG2PSS2YKBMre3V4JhrOxdIaAg4lEALw_wcB;true;gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkQSu1pDM8Ak-pZzOEzL1r6YRNO3dgerc5MgO0ml_J5nLw03DwZXTcaAs_aEALw_wcB&idUser=666c9866-b5a4-4f4c-9985-a6a8cbf4e680&uuid=d84e9cdd-08b5-405d-97c7-eb78ad187a5b&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=true&;https://www.metropolis.com/es/;;;
2021-09-06 0:11:10.616;d84e9cdd-08b5-405d-97c7-eb78ad187a5b;666c9866-b5a4-4f4c-9985-a6a8cbf4e680;Cj0KCQjw1dGJBhD4ARIsANb6OdkQSu1pDM8Ak-pZzOEzL1r6YRNO3dgerc5MgO0ml_J5nLw03DwZXTcaAs_aEALw_wcB;true;cea/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnNoir5uib6uzhGF9uQ7Do6-nMk9ItF8kaSORcGU6JpIQX4gqwpUgMaAnTIEALw_wcB&idUser=3f146eaf-172f-45c2-8d23-fba1446eb653&uuid=a6456565-3f3e-4228-ae6e-d186e17a0eda&camp=1648646316&adg=58613330770&device=m&sl=55827747411&adv=494939238438&rec=true&;https://www.metropolis.com/es/;;;
2021-09-06 0:11:10.739;a6456565-3f3e-4228-ae6e-d186e17a0eda;3f146eaf-172f-45c2-8d23-fba1446eb653;Cj0KCQjw1dGJBhD4ARIsANb6OdnNoir5uib6uzhGF9uQ7Do6-nMk9ItF8kaSORcGU6JpIQX4gqwpUgMaAnTIEALw_wcB;true;gclid=EAIaIQobChMIwJWn_ofp8gIVBuR3CcomY9QfTEAAYASAAEgIDXvD_BwE&idUser=e55feb88-da64-4eca-abb5-57385ad01853&uuid=579d80ab-9632-435d-8158-a43a2a3b10f6&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=false&;https://www.metropolis.com/es/;;;
2021-09-06 0:12:9.065;579d80ab-9632-435d-8158-a43a2a3b10f6;e55feb88-da64-4eca-abb5-57385ad01853;EAIaIQobChMIwJWn_ofp8gIVBuR3Ch1Y9QfTEAAYASAAEgIDXvD_BwE;false;tria-hibrido/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdnfkWZhSxlOmTpAZFOC7eG3Rb1Jl1K3AybbgAZnZDiTrYY2nt78UMcaAnLBEALw_wcB&idUser=9ca6ce29-90d1-4cab-b017-4281a1699427&uuid=2f2757bd-ac81-41b0-9188-aa7e320e3ea0&camp=1725352245&adg=73019156532&device=t&sl=&adv=481025151991&rec=false&;https://www.metropolis.com/es/;;;
